stationname,avglat,avglong,avgdepth,sname
C10,81.3902,18.2593,896.3,C10
C11,81.4380,18.2029,1222.4,C11
C12,81.5434,18.4994,2039.5,C12
C13,81.6143,18.5013,2594.0,C13
C14,81.6755,18.5285,2748.0,C14
C2,79.5081,20.5223,114.3,C2
C3,78.0601,23.0562,107.3,C3
C4,79.6011,20.6263,212.4,C4
C5,80.8821,18.2438,292.6,C5
C6,79.6306,20.6330,307.4,C6
C7,79.6298,20.6814,357.9,C7
C8,81.2961,18.2103,628.8,C8
C9,81.3215,18.1771,688.2,C9
D1,77.8622,25.9396,133.1,D1
D10,80.0122,26.1629,1487.7,D10
D11,80.0215,26.4988,1772.0,D11
D12,76.7273,32.4104,263.0,D12
D13,76.7509,32.2752,243.5,D13
D13A,76.7519,32.4200,223.5,D13A
D14,76.7515,32.5872,214.8,D14
D14A,76.7511,32.7457,194.6,D14A
D15,76.7509,32.9002,179.8,D15
D16,76.7510,33.2200,129.0,D16
D17,76.7500,33.8462,125.9,D17
D2,80.5936,24.5058,147.0,D2
D3,80.6264,24.6130,232.0,D3
D4,80.6409,24.7302,300.2,D4
D5,77.1611,28.2348,210.0,D5
D6,79.9191,25.5283,501.0,D6
D7,79.9440,25.6463,618.0,D7
D8,79.9705,25.7478,738.7,D8
D9,77.1252,29.5968,350.0,D9
DEEP-ICE,82.0632,28.8688,3476.3,DEEP-ICE
E1,80.1141,25.7864,277.1,E1
E10,80.4887,20.4490,1244.5,E10
E11,80.5095,20.1469,1562.0,E11
E12,80.5360,19.7758,1681.0,E12
E13,78.8124,31.1676,144.0,E13
E14,78.8497,30.8821,128.8,E14
E2,80.7456,22.2552,454.2,E2
E3,80.7805,22.5199,674.0,E3
E4,80.3946,21.5466,482.8,E4
E5,80.4139,21.2950,582.0,E5
E6,80.4292,21.1174,654.5,E6
E7,78.7038,32.1943,308.3,E7
E8,80.4586,20.7854,838.8,E8
E9,80.4707,20.6511,943.5,E9
extra 1,75.8567,30.8746,326.0,extra 1
extra 2,75.5650,30.2381,354.0,extra 2
extra 3,75.5650,20.1745,239.0,extra 3
F1,79.2798,24.2615,297.7,F1
F10,77.6845,27.4568,103.0,F10
F11,77.6435,27.2321,138.0,F11
F12,77.6001,27.0094,148.7,F12
F1(A11),78.0578,29.5247,331.0,F1(A11)
F2,79.1774,24.2260,344.0,F2
F3,79.0407,24.1885,422.8,F3
F4,80.2670,20.7118,535.0,F4
F5,80.2931,20.6578,666.0,F5
F6,77.8502,28.3748,238.0,F6
F7,77.8093,28.1503,213.0,F7
F8,77.7676,27.9227,182.0,F8
F9,77.7248,27.6887,133.0,F9
G1,76.0001,31.2194,322.1,G1
G2,75.9191,31.2013,321.0,G2
G3,75.8376,31.1857,321.0,G3
G4,75.7559,31.1660,351.0,G4
G5,75.6740,31.1530,350.0,G5
G6,75.5940,31.1283,347.0,G6
G7,75.5133,31.1154,358.0,G7
G8/H1,75.4320,31.1122,359.0,G8/H1
H10,75.1224,33.5027,164.0,H10
H2,75.3970,31.3587,357.0,H2
H3,75.3653,31.6337,318.0,H3
H4,75.3276,31.8873,331.0,H4
H5,75.2940,32.1571,311.0,H5
H6,75.2587,32.4407,291.7,H6
H7,75.2235,32.6985,212.0,H7
H8,75.1883,32.9609,191.0,H8
H9,75.1537,33.2321,175.0,H9
HT6,79.6297,26.6577,190.2,HT6
HT7,79.5798,26.1663,157.7,HT7
HTD1,79.6369,27.4022,164.6,HTD1
HTD2,79.6581,27.4203,107.3,HTD2
HTD3,79.6736,27.4395,76.6,HTD3
I1,75.5415,34.7017,161.0,I1
I10,76.7320,21.1841,1277.1,I10
I10a,77.5550,18.7383,225.6,I10a
I10b,77.9221,17.5810,230.1,I10b
I10C,76.3573,34.2043,274.8,I10C
I11,77.1027,27.0590,271.8,I11
I11a,76.2433,34.2671,302.7,I11a
I11A,76.4210,34.1820,256.7,I11A
I11A0,76.4196,34.1719,257.9,I11A0
I11A1,76.4044,34.1861,261.4,I11A1
I11A2,76.3840,34.1911,261.6,I11A2
I11B,76.4470,34.1604,253.5,I11B
I12,76.4379,34.1611,250.4,I12
I12A,76.4860,34.1344,220.0,I12A
I13,76.4844,34.1376,228.8,I13
I14,76.4803,34.1365,226.9,I14
I15,76.5775,34.0709,178.9,I15
I16,76.7006,34.0193,140.0,I16
I2,75.6253,34.6520,172.0,I2
I3,75.7062,34.5997,193.0,I3
I4,75.7880,34.5517,203.0,I4
I5,75.8721,34.4970,232.0,I5
I6,75.9513,34.4408,250.0,I6
I7,76.0381,34.4024,263.0,I7
I8,76.1199,34.3510,297.7,I8
I8a,75.7066,34.5749,183.8,I8a
I9,75.8176,34.5337,219.0,I9
I9a,75.6187,33.3911,271.8,I9a
I9b,75.7920,34.5547,205.7,I9b
IsA,78.2683,15.5151,100.1,IsA
ISF,,,,ISF
IS-I,78.0610,13.5238,206.0,IS-I
K10,77.4379,28.1724,164.6,K10
K11,77.4992,26.2719,186.4,K11
K12,77.5418,26.6195,174.0,K12
K6,77.2114,27.1725,142.5,K6
K7,77.2698,25.9740,103.8,K7
K9,77.3574,27.2723,128.2,K9
L1,77.9519,24.6086,60.7,L1
L2,77.9767,25.0007,94.7,L2
L3,78.0115,25.5106,153.5,L3
L4,78.0511,25.9107,189.3,L4
L5,78.0894,26.2323,241.6,L5
L6,78.1248,26.5420,276.0,L6
L7,78.1780,26.9858,312.9,L7
M1,79.5749,28.1138,256.3,M1
M10,79.3839,27.8780,330.4,M10
M1-2,79.5829,28.0730,265.0,M1-2
M1-2-a,79.6738,27.8360,97.8,M1-2-a
M1-2-b,79.5691,28.1559,301.0,M1-2-b
M1-2-BioAc,79.5891,28.0915,256.0,M1-2-BioAc
M1b,79.5727,28.1576,296.6,M1b
M1 (NPAL13),79.5894,28.0975,258.7,M1 (NPAL13)
M2,79.6794,32.2988,355.6,M2
M2 (NPAL11),79.6789,32.3196,356.9,M2 (NPAL11)
M3,78.0632,29.9753,178.9,M3
M3-2,77.8677,31.7137,201.0,M3-2
M3 (NPAL03),77.8677,31.7146,200.8,M3 (NPAL03)
M4,77.6522,25.7415,127.6,M4
M4-2,77.2686,24.4067,67.0,M4-2
M4-2-b,77.2699,24.4071,70.0,M4-2-b
M4 Hydrography,77.2677,24.3933,71.0,M4 Hydrography
M4 (NPAL01),77.2686,24.4067,70.3,M4 (NPAL01)
M5,77.3010,34.0486,151.1,M5
M5 bioac,77.0825,35.0578,147.2,M5 bioac
M6,79.0363,25.3933,218.6,M6
M7,79.1302,26.1217,260.8,M7
N1,79.8730,27.5039,50.7,N1
N10,79.5009,28.6942,349.7,N10
N2,79.8285,27.7470,145.4,N2
N3,79.7083,28.0030,98.2,N3
N4,79.6811,28.1179,136.3,N4
N5,79.6553,28.2124,184.3,N5
N6,79.6239,28.3006,256.4,N6
N7,79.5996,28.3790,306.2,N7
N8,79.5724,28.4967,327.2,N8
N9,79.5398,28.5999,337.1,N9
NLEG02,76.4989,31.2173,314.0,NLEG02
NLEG03,77.0087,34.0341,154.8,NLEG03
NLEG05,77.9990,34.0009,194.7,NLEG05
NLEG06,78.5000,34.0004,179.9,NLEG06
NLEG08,79.0003,33.9997,269.6,NLEG08
NLEG09,79.2434,34.0057,213.0,NLEG09
NLEG10,79.5002,33.9967,300.2,NLEG10
NLEG12,79.9976,33.9937,213.0,NLEG12
NLEG14,81.0000,33.9846,215.3,NLEG14
NLEG15,81.3097,31.3632,200.1,NLEG15
NLEG16,81.3822,31.2916,186.4,NLEG16
NLEG17,81.4110,31.2457,205.6,NLEG17
NLEG18,81.4314,31.1448,256.2,NLEG18
NLEG19,81.4593,31.0707,501.1,NLEG19
NLEG20,81.5025,30.9603,694.0,NLEG20
NLEG22,81.5900,30.7538,1545.6,NLEG22
NLEG23,81.6173,30.6614,1959.2,NLEG23
NLEG24,81.6878,30.5247,2655.9,NLEG24
NLEG Nov_GliderDep,77.3009,29.1580,183.0,NLEG Nov_GliderDep
NPAL02,77.9985,30.0009,287.8,NPAL02
NPAL04,77.9109,31.2962,232.2,NPAL04
NPAL05,78.7684,33.9873,301.3,NPAL05
NPAL06,79.6467,34.2331,347.9,NPAL06
NPAL07,79.6788,33.8130,353.4,NPAL07
NPAL08,79.5864,31.9024,363.8,NPAL08
NPAL09,79.5430,31.6995,327.7,NPAL09
NPAL10,79.4768,31.2109,296.4,NPAL10
NPAL12,79.4709,28.5316,328.7,NPAL12
NPAL14,80.6879,28.9511,551.9,NPAL14
NPAL15 (P6 (NLEG21),81.5706,31.6138,862.1,NPAL15 (P6 (NLEG21)
NPAL16 (P7 (NLEG25)),81.9999,30.0000,3278.4,NPAL16 (P7 (NLEG25))
NPAL17 (PICE),83.2724,30.9493,3895.2,NPAL17 (PICE)
NPAL18,82.6697,29.9866,3698.7,NPAL18
NPAL19,81.9292,27.5191,3284.2,NPAL19
NPAL20 (YP3 (NLEG07)),80.1784,8.1556,556.5,NPAL20 (YP3 (NLEG07))
N_Trawl,80.9499,19.9536,119.7,N_Trawl
NW of Spitsbergen,80.5213,12.0915,19.6,NW of Spitsbergen
P,81.9417,20.8783,3436.0,P
P1,76.2400,30.8000,200.0,P1
P1 (NLEG01),76.0158,31.1791,326.6,P1 (NLEG01)
P1 (NLEG01)-1,76.1668,31.2129,316.0,P1 (NLEG01)-1
P1 (NLEG01)-2,76.3344,31.2123,314.0,P1 (NLEG01)-2
P1 (NLEG01) vicinity,76.0067,31.0314,328.1,P1 (NLEG01) vicinity
P1 (NLEG01)x,76.0856,30.9131,329.1,P1 (NLEG01)x
P2 (NLEG04),77.5290,33.8340,195.3,P2 (NLEG04)
P2 (NLEG04)/P1 (NLEG01),76.8495,32.5794,204.0,P2 (NLEG04)/P1 (NLEG01)
P3 (NLEG07),78.7455,34.0206,306.5,P3 (NLEG07)
P4 (NLEG11),79.7277,34.1042,332.4,P4 (NLEG11)
P4 (NLEG11) vicinity,79.5500,34.5700,328.0,P4 (NLEG11) vicinity
P5 (NLEG13),80.5133,34.0852,159.7,P5 (NLEG13)
P6 (NLEG21),81.5557,31.0720,928.6,P6 (NLEG21)
P6 (NLEG21)_Ice,81.5327,30.9684,797.1,P6 (NLEG21)_Ice
P7 (NLEG25),81.8971,29.2392,3138.6,P7 (NLEG25)
P7 (NLEG25)_Ice,81.9861,29.9975,3272.8,P7 (NLEG25)_Ice
PICE1,83.3338,31.5364,3926.1,PICE1
Raphaelle 1,77.6339,31.6881,165.0,Raphaelle 1
Raphaelle 2,77.6339,31.6887,164.0,Raphaelle 2
Ref,73.1180,24.4930,403.0,Ref
S1,75.1250,33.5000,155.0,S1
S2,75.1900,32.9000,193.0,S2
S3,75.2973,32.0918,310.0,S3
SICE1,83.1433,31.5562,3822.2,SICE1
SICE2,83.3142,29.5193,3920.0,SICE2
SICE2a,83.3202,29.4911,3918.4,SICE2a
SICE2b,83.3317,29.3328,3918.3,SICE2b
SICE3,83.2292,25.7876,3910.9,SICE3
SICE4,81.9872,24.7277,3624.2,SICE4
T1,80.8361,14.5315,956.3,T1
T2,80.7205,15.3977,945.0,T2
T3,81.0053,16.7165,958.7,T3
test,78.3408,15.2426,257.0,test
test I-N,78.1818,13.3853,231.0,test I-N
test ISA,78.2570,15.5267,70.0,test ISA
trawl near P2 (NLEG04),76.8495,32.5794,204.0,trawl near P2 (NLEG04)
W1,81.1807,18.4918,399.0,W1
W2,81.3787,18.4167,720.0,W2
W3,81.5102,18.4030,1873.0,W3
W of Soerkapp,76.4165,13.9047,1050.3,W of Soerkapp
WPC_Ice,79.5720,27.3440,148.8,WPC_Ice
WR1,78.5496,23.7093,66.8,WR1
WR2,77.9640,24.7694,77.6,WR2
WR3,78.0209,25.5861,156.3,WR3
WR4,78.0978,26.3002,251.9,WR4
WR5,78.1901,27.2341,324.3,WR5
WR6,78.1711,27.2982,327.1,WR6
WR7,78.0898,27.6104,282.8,WR7
WR8,78.0120,27.9257,231.3,WR8
WR9,77.9835,28.0492,241.5,WR9
YP-C,80.1352,8.5297,512.0,YP-C
,80.4032,29.1317,202.1,
